Index,Wrong_ISBN,Correct_ISBN
0,034542252,034542252X
44,20070/88,0822007088
54,40052/90,0140052909
263,052594527,052594527X
563,006440630,006440630X
733,345245504,0345245504
1083,019282726,019282726X
1138,076422230,0764222309
1144,188517108,1885171080
1176,038524087,0385240872
1213,843397023,8433970232
1779,080411935,080411935X
2116,374237131,0374237131
2228,078688939,078688939X
2263,056353723,056353723X
2319,0316=693235,0316693235
2370,01404.30024,0140430024
2527,044636538,0446365386
2639,684717972,0684717972
2667,01402.5448X,014025448X
2722,059035342,059035342X
2831,059042382,0590423827
3001,006099486,006099486X
3168,006050225,0060502258
3223,394700031,0394700031
3267,01401.87367,0140187367
3404,067102100,0671021001
3407,043936213,043936213X
3408,037382503,037382503X
3782,033026693,0330266934
3816,157392004,1573920045
3826,880781385,8807813858
3884,380976587,0380976587
3896,078686240,0786862408
3926,207036034,2070360342
4095,2.02.055078.4,2020550784
4115,880781385,8807813858
4264,344254159,344254159X
4301,449911004,0449911004
4308,01402.5448X,014025448X
4356,080661711,080661711X
4374,058351149,058351149X
4453,006=0176989,0060176989
4456,006073941,006073941X
4457,006101351,006101351X
4458,00610524,0061052493
4586,01400.53204,0140053204
4618,01402.50948,0140250948
4622,014025358,0140253580
4653,014050566,0140505660
4674,01420.01740,0142001740
4676,01460.00129,0146000129
4711,031696944,0316969443
4806,034534803,0345348036
4834,0385=426151,0385426151
4897,044652675,0446526754
5004,055335387,055335387X
5079,06440007,0064400077
5089,067102100,0671021001
5127,067944815,0679448152
5207,074322457,0743224574
5384,089296+4502,0892964502
5407,09652481,0965248127
5535,2.02.025380.1,2020253801
5536,2.02.048170.7,2020481707
5549,207036965,207036965X
5692,342660700,342660700X
5910,385504209,0385504209
5983,446611778,0446611778
5987,51513628X,051513628X
5999,679444815,0679444815
6071,842046435,842046435X
6859,039475591,039475591X
6900,853260851,1853260851
6986,096533192,096533192X
7066,034533968,0345339681
7121,051511640,0515116408
7167,425040348,0425040348
7170,814907180,0814907180
7575,051509160,051509160X
7636,394727266,0394727266
7662,076422230,0764222309
7666,096533192,096533192X
7668,739429086,0739429086
7761,39417108X,039417108X
7763,911226095,0911226095
7773,067091021,067091021X
7775,051513287,051513287X
7829,052524333,052524333X
7861,749320346,0749320346
7895,052594740,052594740X
7990,067976402,067976402X
8050,080411918,080411918X
8142,038073020,0380730200
8185,059018749,059018749X
8190,840130315,840130315X
8198,01400.51279,0140051279
8332,034544282,0345442822
8386,2.02.006186.4,2020061864
8421,055337513,055337513X
8562,034543630,034543630X
8693,014032495,014032495X
8855,059035342,059035342X
8937,880437591,8804375914
8969,044640068,0446400688
9003,425038246,0425038246
9023,055334948,0553349481
9077,140030344,0140030344
9140,067976397,067976397X
9226,042515409,0425154092
9295,042516098,042516098X
9296,044652689,0446526894
9297,044661064,044661064X
9298,051511264,051511264X
9299,055357924,055357924X
9300,068482468,068482468X
9301,155166870,155166870X
9351,037329087,037329087X
9562,01403.78278,0140378278
9763,067978157,0679781579
9773,01402.3313X,014023313X
9782,01420.01740,0142001740
9837,346202261,346202261X
9894,394734157,0394734157
9934,06440031X,006440031X
10024,671758896,0671758896
10097,394529197,0394529197
10311,345311578,3453115783
10517,0.380.44099.7,0380440997
10552,034546869,0345468694
10807,814907180,0814907180
10810,316693235,0316693235
10811,034911392,0349113920
10939,006109868,006109868X
11025,078354751,078354751X
11231,064400077,0064400077
11232,064400085,0064400085
11265,0=440226406,0440226406
11294,0=743232763,0743232763
11340,156619024,156619024X
11341,068815512,068815512X
11673,140006923,0140006923
11756,044638787,0446387878
11794,067179809,067179809X
11966,349923193,349923193X
12002,076790382,076790382X
12028,015636090,015636090X
12079,20253801,2020253801
12185,006105223,006105223X
12220,039471715,0394717155
12227,425040348,0425040348
12277,01420.02267,0142002267
12291,067087311,067087311X
12325,2.02.057124.2,2020571242
12367,2.02.025780.7,2020257807
12439,671785281,0671785281
12472,2.02.008806.1,2020088061
12528,015295602,0152956026
12530,014=0270590,0140270590
12617,0060192917`,0060192917
12634,01402.76432,0140276432
12665,051512608,051512608X
12726,01402.5448X,014025448X
12731,037303426,0373034261
12751,843947624,0843947624
12755,037370574,0373705743
12761,048640158,0486401588
12956,887390390,0887390390
13060,01400.36938,0140036938
13182,316690619,0316690619
13183,446516317,0446516317
13189,042517890,0425178900
13248,068971482,0689714823
13264,038071502,0380715023
13330,880781382,8807813823
13521,044023722,044023722X
13713,050552581,050552581X
13998,039490001,0394900014
14012,01402.57934,0140257934
14013,01402.65686,0140265686
14021,044991057,0449910571
14231,037361386,0373613865
14242,055357869,0553578693
14259,01401.67153,0140167153
14269,345378490,0345378490
14321,059048141,059048141X
14603,60303294X,060303294X
14735,74343627X,074343627X
14801,081931126,081931126X
14815,671795791,0671795791
14827,01413.1088X,014131088X
14828,076361421,0763614211
14830,044021256,0440212561
14832,067166662,0671666622
14901,373706456,0373706456
14902,385504209,0385504209
14903,671036505,0671036505
14904,743246438,0743246438
14905,038079562,0380795620
14945,061815082,061815082X
15041,0590=121251,0590121251
15084,014032874,0140328742
15086,067179276/,0671792768
15148,037326433,037326433X
15153,043906486,0439064864
15154,059035340,0590353403
15167,155661683,155661683X
15171,059046018,0590460188
15179,034535461,0345354613
15193,067141636,0671416367
15195,068480386,0684803860
15219,052524266,052524266X
15237,325723158,325723158X
15327,042513525,042513525X
15328,080411868,080411868X
15329,2.02.025380.1,2020253801
15356,074343780,0743437802
15363,080410753,080410753X
15657,01402.44824,0140244824
15965,0=060976845,0060976845
16007,01402.83641,0140283641
16083,055327872,055327872X
16482,01400.55932,0140055932
16715,157566741,157566741X
16718,159298041,1592980414
16848,840000001,8400000013
16966,891760326,0891760326
16970,006098710,0060987103
16982,014011979,0140119795
16990,345361199,0345361199
17179,01401.00032,0140100032
17219,345369947,0345369947
17223,044632989,0446329894
17285,380974053,0380974053
17457,051511264,051511264X
17473,015636090,015636090X
17530,039914255,039914255X
17615,2.02.000585.9,2020005859
17873,006101351,006101351X
17917,344242529,3442425298
18003,01402.8009X,014028009X
18038,14042038X,014042038X
18182,843397023,8433970232
18253,848310095,8483100959
18362,006092833,0060928336
18399,08050=53077,0805053077
18498,042515861,0425158616
18499,084395103,0843951036
18506,014010920,014010920X
18520,880781385,8807813858
18621,684717999,0684717999
18623,055324983,0553249835
18882,871561913,0871561913
19089,380977354,0380977354
19128,185230698,185230698X
19189,01400.13997,0140013997
19439,038072099,038072099X
19525,044667221,0446672211
19560,042513711,0425137112
19592,08028472,8408028472
19702,064421767,0064421767
19838,014044.2014,0140442014
19845,394717724,0394717724
19872,044021873,044021873X
20030,749320346,0749320346
20089,0140.38572X,014038572X
20194,394404289,0394404289
20293,076790592,076790592X
20386,684718057,0684718057
20393,01401.8970X,014018970X
20400,031669325,0316693251
20527,207036965,207036965X
20558,01402.9628X,014029628X
20565,044921978,044921978X
20599,01401.6930X,014016930X
20608,345305069,345305069X
20615,345353145,0345353145
20639,2.02.057367.9,2020573679
20640,2.264.01699,226401699X
20726,062508113,0062508113
20743,15879900,1587990008
20757,034538430,034538430X
20782,014014738,0140147381
20893,345311578,3453115783
21028,0307010+880,0307010880
21103,044041668,044041668X
21267,031225343,0312253435
21276,061014591,0061014591
21287,38080472,0380804727
21680,679721886,0679721886
21845,034532532,034532532X
21883,080411109,080411109X
21917,080411109,080411109X
22135,034536620,0345366204
22136,034543448,034543448X
22137,038080808,0380808080
22138,044012209,0440122090
22140,044914956,0449149560
22141,051513330,0515133302
22142,06103107,0061031070
22180,014043.0148,0140430148
22243,068984917,0689849176
22258,01401.27925,0140127925
22261,006097208,0060972084
22286,034536829,0345368290
22358,042510687,042510687X
22359,042517736,042517736X
22362,068486729,068486729X
22381,684717646,0684717646
22429,006096845,0060968451
22643,523403445,0523403445
22687,014023313,014023313X
22981,2.23405403.6,2234054036
23095,060122390,0060122390
23130,345245504,0345245504
23135,399501487,0399501487
23156,671785753,0671785753
23158,87044106X,087044106X
23169,050552581,050552581X
23221,01402.5448X,014025448X
23222,01402.54544,0140254544
23223,01402.6568,0140265686
23243,038549422,038549422X
23307,01400.75577,0140075577
23377,0385=426151,0385426151
23468,01403.48107,0140348107
23469,01403.69368,0140369368
23598,0*553*072412,0553072412
23685,075820047,0758200471
23818,014027927,014027927X
23976,843390650,843390650X
24005,087011512,087011512X
24006,394727266,0394727266
24200,312127057,0312127057
24317,006101351,006101351X
24323,01402.31595,0140231595
24355,767916069,0767916069
24397,031296924,0312969244
24448,184195425,184195425X
24543,345319604,345319604X
24613,007122039,0007122039
